page,habitat_id,realm,major_habitat_type,ecoregion
27,805,Australasia,Tropical and subtropical coastal rivers,Arafura - Carpentaria
27,806,Australasia,Xeric freshwaters and endorheic (closed) basins,Lake Eyre Basin
27,807,Australasia,Temperate coastal rivers,Eastern Coastal Australia
27,808,Australasia,Temperate floodplain rivers and wetlands,Murray - Darling
27,809,Australasia,Temperate coastal rivers,Bass Strait Drainages
28,810,Australasia,Temperate coastal rivers,Southern Tasmania
28,811,Australasia,Temperate coastal rivers,New Zealand
28,812,Australasia,Tropical and subtropical coastal rivers,Vogelkop - Bomberai
28,813,Australasia,Montane freshwaters,New Guinea North Coast
28,814,Australasia,Montane freshwaters,New Guinea Central Mountains
28,815,Australasia,Tropical and subtropical coastal rivers,Southwest New Guinea - Trans-Fly Lowland
28,816,Australasia,Tropical and subtropical coastal rivers,Papuan Peninsula
28,817,Australasia,Tropical and subtropical coastal rivers,Bismarck Archipelago
28,818,Australasia,Tropical and subtropical coastal rivers,Solomon Islands
28,819,Oceania,Oceanic Islands,Vanuatu
28,820,Australasia,Tropical and subtropical coastal rivers,New Caledonia
28,821,Oceania,Oceanic Islands,Fiji
28,822,Oceania,Oceanic Islands,Wallis - Futuna
28,823,Oceania,Oceanic Islands,Samoas
28,824,Oceania,Oceanic Islands,Society Islands
29,825,Oceania,Oceanic Islands,Tubuai Islands
29,826,Oceania,Oceanic Islands,Marquesas Islands
29,827,Oceania,Oceanic Islands,Rapa
29,828,Oceania,Oceanic Islands,Hawaiian Islands
29,829,Oceania,Oceanic Islands,East Caroline Islands
29,830,Oceania,Oceanic Islands,West Caroline Islands
